SQLDATE,Partner,QuadClass
20260101,USA,3
20260101,USA,3
20260101,USA,3
20260101,USA,3
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,3
20260101,USA,3
20260101,USA,3
20260101,USA,3
20260101,USA,3
20260101,USA,3
20260101,USA,4
20260101,USA,4
20260101,USA,3
20260101,USA,3
20260101,USA,4
20260101,USA,4
20260101,VEN,3
20260101,USA,3
20260101,USA,3
20260101,SOM,3
20260101,SOM,3
20260101,USA,4
20260101,EUR,3
20260101,USA,3
20260101,RUS,4
20260101,USA,3
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,UKR,3
20260101,USA,3
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,AFR,4
20260101,USA,4
20260101,USA,3
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,3
20260101,USA,4
20260101,USA,4
20260101,VEN,4
20260101,VEN,4
20260101,VEN,3
20260101,RUS,4
20260101,RUS,4
20260101,USA,4
20260101,UKR,4
20260101,UKR,4
20260101,USA,4
20260101,USA,4
20260101,USA,3
20260101,USA,4
20260101,UKR,4
20260101,USA,3
20260101,USA,3
20260101,USA,4
20260101,VEN,3
20260101,USA,4
20260101,USA,3
20260101,NGA,3
20260101,NGA,4
20260101,USA,3
20260101,USA,3
20260101,USA,3
20260101,USA,4
20260101,USA,3
20260101,DZA,4
20260101,USA,3
20260101,USA,4
20260101,NGA,4
20260101,NGA,4
20260101,NGA,4
20260101,USA,3
20260101,USA,3
20260101,VEN,3
20260101,VEN,3
20260101,USA,4
20260101,BRA,3
20260101,BRA,3
20260101,USA,3
20260101,USA,3
20260101,ITA,3
20260101,USA,3
20260101,ITA,3
20260101,ITA,3
20260101,ITA,3
20260101,USA,4
20260101,USA,3
20260101,USA,4
20260101,USA,3
20260101,USA,3
20260101,SLV,4
20260101,SLV,4
20260101,UKR,4
20260101,ITA,3
20260101,ITA,3
20260101,USA,3
20260101,ITA,3
20260101,ITA,3
20260101,IRN,3
20260101,IRN,3
20260101,IRN,3
20260101,IRN,3
20260101,USA,4
20260102,ITA,3
20260102,ITA,3
20260102,USA,4
20260102,ITA,3
20260102,USA,4
20260102,USA,4
20260102,USA,3
20260102,USA,3
20260102,USA,3
20260102,USA,3
20260102,USA,4
20260102,ITA,3
20260102,ITA,3
20260102,USA,4
20260102,USA,3
20260102,USA,4
20260102,USA,3
20260102,SOM,3
20260102,NGA,3
20260102,NGA,4
20260102,RUS,3
20260102,RUS,3
20260102,RUS,3
20260102,RUS,3
20260102,RUS,3
20260102,RUS,3
20260102,VNM,4
20260102,VNM,4
20260102,IRN,4
20260102,USA,3
20260102,USA,4
20260102,USA,4
20260102,USA,3
20260102,USA,3
20260102,USA,3
20260102,USA,3
20260102,VEN,3
20260102,IRN,3
20260102,IRN,3
20260102,IRN,3
20260102,IRN,3
20260102,VEN,4
20260102,VEN,4
20260102,IRN,3
20260102,USA,4
20260102,ITA,3
20260102,USA,3
20260102,USA,4
20260102,USA,3
20260102,USA,3
20260102,USA,3
20260102,USA,4
20260102,IRN,3
20260102,IRN,3
20260102,IRN,3
20260102,IRN,3
20260102,USA,4
20260102,USA,4
20260102,RUS,3
20260102,USA,4
20260102,VEN,4
20260102,VEN,4
20260102,USA,3
20260102,USA,3
20260102,USA,4
20260102,USA,4
20260102,UKR,3
20260102,USA,4
20260102,USA,3
20260102,USA,3
20260102,USA,3
20260102,FRA,3
20260102,USA,3
20260102,USA,4
20260102,USA,3
20260102,USA,3
20260102,USA,4
20260102,USA,4
20260102,USA,3
20260102,ITA,3
20260102,ITA,3
20260102,USA,3
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,3
20260102,USA,3
20260102,USA,3
20260102,USA,4
20260102,USA,3
20260102,ISR,4
20260102,USA,3
20260102,USA,4
20260102,USA,3
20260102,USA,3
20260102,USA,4
20260102,USA,4
20260102,IRN,3
20260102,IRN,3
20260102,USA,3
20260102,USA,3
20260102,USA,3
20260102,USA,3
20260102,IRN,4
20260102,IRN,4
20260102,USA,3
20260102,USA,3
20260102,USA,4
20260102,USA,3
20260102,USA,4
20260103,ITA,3
20260103,ITA,3
20260103,USA,4
20260103,IRN,3
20260103,IRN,4
20260103,IRN,4
20260103,IRN,3
20260103,ITA,3
20260103,ITA,3
20260103,SOM,3
20260103,USA,3
20260103,USA,3
20260103,USA,3
20260103,USA,4
20260103,USA,4
20260103,ITA,3
20260103,ITA,3
20260103,FRA,3
20260103,IRN,3
20260103,IRN,3
20260103,USA,4
20260103,USA,4
20260103,EUR,3
20260103,GBR,3
20260103,ITA,3
20260103,USA,3
20260103,USA,3
20260103,ISR,4
20260103,USA,3
20260103,IRN,4
20260103,IRN,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,3
20260103,USA,3
20260103,USA,3
20260103,USA,3
20260103,USA,3
20260103,USA,3
20260103,ISR,4
20260103,USA,4
20260103,ITA,3
20260103,ITA,3
20260103,USA,3
20260103,CHN,3
20260103,CHN,3
20260103,AUS,4
20260103,USA,4
20260103,USA,3
20260103,ISR,3
20260103,ISR,3
20260103,PSE,3
20260103,VEN,4
20260103,MEX,3
20260103,MEX,3
20260103,USA,3
20260103,USA,4
20260103,USA,3
20260103,USA,3
20260103,USA,4
20260103,USA,3
20260103,USA,4
20260103,VEN,3
20260103,VEN,3
20260103,VEN,3
20260103,USA,3
20260103,USA,4
20260103,USA,3
20260103,USA,3
20260103,USA,3
20260103,USA,4
20260103,VEN,3
20260103,USA,3
20260103,USA,4
20260103,USA,4
20260103,USA,3
20260103,USA,4
20260103,VEN,3
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,4
20260103,VEN,3
20260103,VEN,3
20260103,VEN,3
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,3
20260103,USA,3
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,3
20260103,USA,3
20260103,USA,3
20260103,USA,3
20260103,VEN,4
20260103,VEN,4
20260103,USA,4
20260103,VEN,3
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,3
20260103,VEN,3
20260103,USA,3
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,3
20260103,USA,4
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,4
20260103,USA,3
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,4
20260103,VEN,3
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,3
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,3
20260103,VEN,3
20260103,VEN,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,3
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,EUR,4
20260103,EUR,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,3
20260103,VEN,3
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,4
20260103,USA,4
20260103,VEN,3
20260103,VEN,3
20260103,VEN,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,VEN,3
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,3
20260103,USA,4
20260103,USA,4
20260103,VEN,3
20260103,VEN,3
20260103,VEN,4
