SQLDATE,Partner,QuadClass
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,RUS,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,AFR,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,VEN,4
20260101,VEN,4
20260101,RUS,4
20260101,RUS,4
20260101,USA,4
20260101,UKR,4
20260101,UKR,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,UKR,4
20260101,USA,4
20260101,USA,4
20260101,NGA,4
20260101,USA,4
20260101,DZA,4
20260101,USA,4
20260101,NGA,4
20260101,NGA,4
20260101,NGA,4
20260101,USA,4
20260101,USA,4
20260101,USA,4
20260101,SLV,4
20260101,SLV,4
20260101,UKR,4
20260101,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,NGA,4
20260102,VNM,4
20260102,VNM,4
20260102,IRN,4
20260102,USA,4
20260102,USA,4
20260102,VEN,4
20260102,VEN,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,VEN,4
20260102,VEN,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,ISR,4
20260102,USA,4
20260102,USA,4
20260102,USA,4
20260102,IRN,4
20260102,IRN,4
20260102,USA,4
20260102,USA,4
20260103,USA,4
20260103,IRN,4
20260103,IRN,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,ISR,4
20260103,IRN,4
20260103,IRN,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,ISR,4
20260103,USA,4
20260103,AUS,4
20260103,USA,4
20260103,VEN,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,4
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,4
20260103,USA,4
20260103,VEN,4
